Accession Number,Genus,Species,Strain,Location,Cryo Pvalue,Inoc Date,n Tubes Frozen,Date Frozen,Label
1051,Cryomyces,antarcticus,CBS 116301,D5,1,6/7/21,10,8/4/21,Cryomyces P1 6-7-21
1339,Morchella,sp,M29,D6,2,6/10/21,10,6/28/21,M. sp. M29 P2 6-10-21
1013,Agaricus,brunnescens,Portobello,D6,2,6/15/21,10,6/28/21,Ab Porta. P2 6-15-21
1000,Agaricus,augustus,I,D5,13,6/29/21,10,7/26/21,Aa I P13 6-29-21
1039,Coprinus,comatus,K08,D5,2,6/29/21,10,7/26/21,Cc K08 P2 6-29-21
1085,Laricifomes,officinalis,Fairy Creek,D5,1,7/15/21,10,8/4/21,Fo Fairy BC P1 7-15-21
1088,Laricifomes,officinalis,I- Morton,D5,1,7/20/21,10,8/16/21,Fo Morton P1 7-20-21
1089,Laricifomes,officinalis,IV (4)- Elwha,D5,2,7/20/21,10,8/16/21,Fo Elwha P2 7-20-21
1091,Laricifomes,officinalis,Kitsap,D5,2,7/21/21,10,8/16/21,Fo Kitsap P2 7-21-21
1131,Laricifomes,officinalis,XLIV (44) - Cold Spring,D4,2,7/21/21,10,8/17/21,Fo Cold Spring P2 7-21-21
1136,Laricifomes,officinalis,XLVIII (48) - Taylor River,D4,2,7/21/21,10,8/17/21,Fo Taylor River P2 7-21-21
1076,Laricifomes,officinalis,Beachie Creek,D4,1,7/21/21,10,8/17/21,Fo Beachie Creek P1 7-21-21
1133,Laricifomes,officinalis,XLV (45) - Baker,D4,2,7/21/21,10,8/23/21,Fo Baker P2 7-21-21
1132,Laricifomes,officinalis,XLIX (49) - Spider Lake II,D3,2,7/21/21,10,8/23/21,Fo Spider Lake II P2 7-21-21
1112,Laricifomes,officinalis,Vancouver Island,D4,3,7/21/21,10,8/23/21,Fo Vanc. Is. P3 7-21-21
1074,Laricifomes,officinalis,Anvil Lake BC,D4,4,7/21/21,10,8/23/21,Fo Anvil Lake BC P4 7-21-21
1116,Laricifomes,officinalis,VIII (8)- #67318,D3,2,7/21/21,10,8/24/21,Fo #67318 P2 7-21-21
1105,Laricifomes,officinalis,Sleeping Beauty Trail,D3,1,7/21/21,10,8/26/21,Fo Sleeping Beauty P1 7-21-21
1150,Laricifomes,officinalis,XXX (30)- Humboldt Willow Creek,D4,2,7/22/21,10,8/18/21,Fo Humboldt Willow Creek P2 7-22-21
1099,Laricifomes,officinalis,Raging River,D5,2,7/22/21,10,8/18/21,Fo Raging River P2 7-22-21
1082,Laricifomes,officinalis,Duckabush,D5,2,7/22/21,10,8/18/21,Fo Duckabush P2 7-22-21
1148,Laricifomes,officinalis,XXVII (27)- Ellinor Lake,D4,2,7/22/21,10,8/23/21,Fo Ellinor Lake P2 7-22-21
1128,Laricifomes,officinalis,XLI (41) - Powell River,D4,2,7/22/21,10,8/23/21,Fo Powell River P2 7-22-21
1138,Laricifomes,officinalis,XVI (16)- Boulder Creek,D3,2,7/22/21,10,8/24/21,Fo Boulder Creek P2 7-22-21
1101,Laricifomes,officinalis,Rock Candy Mtn,D3,5,7/22/21,10,8/24/21,Fo Rock Candy Mt. P5 7-22-21
1146,Laricifomes,officinalis,XXV (25)- #75,D3,2,7/22/21,10,8/26/21,Fo #75 P2 7-22-21
1127,Laricifomes,officinalis,XL (40) - Goldmeyer Hot Springs,D2,2,7/22/21,10,9/2/21,Fo Goldmeyer Hot Springs P2 7-22-21
1083,Laricifomes,officinalis,East Tyrol,D3,3,8/10/21,10,8/26/21,Fo E. Tyrol P3 8-10-21
1111,Laricifomes,officinalis,V (5) - Cortes,D3,3,8/10/21,10,9/2/21,Fo Cortes P3 8-10-21
1137,Laricifomes,officinalis,XV (15)- Ellinor,D3,2,8/10/21,10,9/2/21,Fo Ellinor P2 8-10-21
1058,Flammulina,populicola,NC,D2,15,9/3/21,10,9/21/21,Fv NC P15 9-3-21
1064,Fomes,fomentarius,France,D2,2,9/14/21,10,10/4/21,Ff France P2 9-14-21
1164,Fomitopsis,pinicola,Tatoosh,D2,2,9/14/21,11,10/4/21,Fp Tatoosh P2 9-14-21
1042,Cordyceps,militaris,Cordyzilla,D2,4,9/14/21,10,10/7/21,Cm Cordyzilla P2 9-14-21
1163,Fomitopsis,pinicola,I,D2,3,9/14/21,10,10/7/21,Fp I P3 9-14-21
1040,Coprinopsis,nivea,I,D1,4,9/14/21,10,10/14/21,Cn I P4 9-14-21
1162,Fomitopsis,pinicola,Hoh,D1,2,9/14/21,10,10/14/21,Fp Hoh P2 9-14-21
1070,Fomitiporia,robusta,I,D2,2,9/16/21,10,10/4/21,Fr I P2 9-16-21
1071,Rhodofomes,cajanderi,I,D2,3,9/16/21,10,10/7/21,Fc I P3 9-16-21
1072,Fomitopsis,ochracea,Salt Spring Island BC,D1,2,9/16/21,10,10/14/21,Fo Salt Spring Is. P2 9-16-21
1217,Hericium,abietis,I,C8,15,9/30/21,10,11/1/21,Ha I P15 9-30-20
1188,Ganoderma,oregonense,IV-Elwha,D1,5,10/8/21,10,10/21/21,Go IV Elwha P5 10-8-21
1183,Ganoderma,oregonense,Cortes Carrington,D1,3,10/8/21,10,10/21/21,Go Cortes C. P3 10-8-21
1195,Ganoderma,polychromum,Olympia Madison,D1,3,10/8/21,10,10/21/21,Ga O. M. P3 10-8-21
1182,Ganoderma,neojaponicum,13102,D1,11,10/8/21,10,10/22/21,Gn 13102 P11 10-8-21
1184,Ganoderma,oregonense,Depoe Bay,D1,3,10/8/21,10,10/22/21,Go Depoe Bay P3 10-8-21
1194,Ganoderma,polychromum,Olympia,D1,2,10/8/21,10,10/22/21,G. sp. Olympia P2 10-8-21
1168,Ganoderma,applanatum,I- Mason County Staircase,C8,3,10/8/21,10,10/25/21,Ga I Mason… P3 10-8-21
1187,Ganoderma,oregonense,III-Elwha,C8,2,10/12/21,10,10/25/21,Go III Elwha P2 10-12-21
1185,Ganoderma,oregonense,Evergreen,C8,2,10/12/21,10,10/25/21,G. sp. Evergreen P2 10-21-21
1166,Polyporus,annulatus,I,C8,3,10/12/21,10,10/26/21,Ga I P3 10-12-21
1172,Ganoderma,applanatum,U. of Virginia,C8,3,10/12/21,10,10/26/21,Ga U of V P3 10-12-21
1189,Ganoderma,oregonense,Marys Pt Cortes Island,C8,2,10/12/21,10,10/26/21,Go Mary's Pt. P2 10-12-21
1191,Ganoderma,oregonense,Skok,C8,2,10/12/21,10,11/1/21,Go Skok P2 10-12-21
1170,Ganoderma,applanatum,III-Garfield,C8,4,10/21/21,10,11/1/21,Ga III Garfield P4 10-21-21
1193,Ganoderma,oregonense,V-Elwha,C7,3,10/21/21,10,11/10/21,Go V Elwha P3 10-21-21
1015,Agaricus,lilaceps,I,C6,13,10/21/21,10,11/16/21,Al I P13 10-21-21
1211,Grifola,frondosa,Walden II,C7,3,10/26/21,10,11/10/21,Gf Walden II P3 10-26-21
1212,Grifola,frondosa,WV,C7,3,10/26/21,10,11/10/21,Gf WV P3 10-26-21
1210,Grifola,frondosa,Walden I,C7,4,10/26/21,10,11/15/21,Gf Walden I P4 10-26-21
1199,Grifola,frondosa,21g,C7,4,10/26/21,10,11/15/21,Gf 21g P4 10-26-21
1204,Grifola,frondosa,Georgia,C7,2,10/26/21,10,11/15/21,Gf Georgia P2 10-26-21
1208,Grifola,frondosa,Mass.,C6,2,10/28/21,10,11/16/21,Gf Mass. P2 10-28-21
1200,Grifola,frondosa,Arora,C7,4,10/28/21,10,11/16/21,Gf Arora P4 10-28-21
